"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","LT","Lithuania",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","LU","Luxembourg",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","LV","Latvia",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","MT","Malta",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","NL","Netherlands",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","NO","Norway",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","PL","Poland",17.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","RO","Romania",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","SE","Sweden",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","SI","Slovenia",11.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","SK","Slovakia",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2012","UK","United Kingdom",99.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","AT","Austria",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","BE","Belgium",71.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","BG","Bulgaria",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","CY","Cyprus",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","CZ","Czechia",10.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","DK","Denmark",13.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","EE","Estonia",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","EL","Greece",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","ES","Spain",68.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","EUEEA30_21","EU/EEA (without UK)",376.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","EUEEAUK_21","EU/EEA (with UK until 2019)",493.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","FI","Finland",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","FR","France",106.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","HR","Croatia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","HU","Hungary",6.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","IE","Ireland",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","IS","Iceland",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","IT","Italy",16.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","LT","Lithuania",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","LU","Luxembourg",0.000000000,""
